Goroka,Papua New Guinea,GKA,AYGA,5400,-6.081689835,145.3919983
Madang,Papua New Guinea,MAG,AYMD,5174,-5.207079887,145.7890015
Egilsstaðir,Iceland,EGS,BIEG,6562,65.28330231,-14.40139961
Siglufjörður,Iceland,SIJ,BISI,3556,66.133301,-18.9167
Gurney,Papua New Guinea,GUR,AYGN,5546,-10.3114996,150.3339996
Narsarsuaq,Greenland,UAK,BGBW,6004,61.16049957,-45.42599869
Manus Island,Papua New Guinea,MAS,AYMO,6136,-2.06189,147.423996
Aasiaat,Greenland,JEG,BGAA,2621,68.72180176,-52.78469849
Höfn,Iceland,HFN,BIHN,4921,64.295601,-15.2272
Popondetta,Papua New Guinea,PNP,AYGR,5485,-8.80453968,148.3090057
Yaren District,Nauru,INU,ANYN,7054,-0.547458,166.919006
Wewak,Papua New Guinea,WWK,AYWK,5234,-3.583830118,143.6690063
Lae,Papua New Guinea,LAE,AYNZ,8004,-6.569803,146.725977
Buka Island,Papua New Guinea,BUA,AYBK,5125,-5.422319889,154.6730042
Húsavík,Iceland,HZK,BIHU,5266,65.952301,-17.426001
Mendi,Papua New Guinea,MDU,AYMN,4411,-6.14774,143.656998
Honiara,Solomon Islands,HIR,AGGH,7218,-9.42800045,160.0549927
Hoskins,Papua New Guinea,HKN,AYHK,5212,-5.462170124,150.4049988
Kerema,Papua New Guinea,KMA,AYKM,3044,-7.963610172,145.7709961
Kavieng,Papua New Guinea,KVG,AYKV,5592,-2.579400063,150.8079987
Ísafjörður,Iceland,IFJ,BIIS,4593,66.05809784,-23.13529968
Nuuk,Greenland,GOH,BGGH,3117,64.19090271,-51.67810059
Reykjavík - Keflavik,Iceland,KEF,BIKF,10056,63.98500061,-22.60560036
Port Moresby,Papua New Guinea,POM,AYPY,9022,-9.443380356,147.2200012
Reykjavik,Iceland,RKV,BIRK,5141,64.12999725,-21.94059944
Kundiawa,Papua New Guinea,CMU,AYCH,3330,-6.024290085,144.970993
Tokua,Papua New Guinea,RAB,AYTK,5643,-4.340459824,152.3800049
Munda,Solomon Islands,MUA,AGGM,4593,-8.327969551,157.2630005
Kangerlussuaq,Greenland,SFJ,BGSF,9219,67.0122219,-50.71160316
Vanimo,Papua New Guinea,VAI,AYVN,5775,-2.6926,141.3028
Daru,Papua New Guinea,DAU,AYDU,4593,-9.086759567,143.2079926
Mount Hagen,Papua New Guinea,HGU,AYMH,7185,-5.826789856,144.2960052
Akureyri,Iceland,AEY,BIAR,6365,65.66000366,-18.0727005
Wapenamanda,Papua New Guinea,WBM,AYWD,5052,-5.643300056,143.8950043
Bella Coola,Canada,QBC,CYBD,4200,52.387501,-126.596001
Tadoule Lake,Canada,XTL,CYBQ,3200,58.7061,-98.512199
Clyde River,Canada,YCY,CYCY,3500,70.48609924,-68.51670074
Brandon,Canada,YBR,CYBR,6500,49.91,-99.951897
Chetwynd,Canada,YCQ,CYCQ,4484,55.68719864,-121.6269989
Kasabonika,Canada,XKS,CYAQ,3500,53.52470016,-88.64279938
Tofino,Canada,YAZ,CYAZ,5000,49.079833,-125.775583
Cartwright,Canada,YRF,CYCA,2500,53.68280029,-57.04190063
Campbell River,Canada,YBL,CYBL,5000,49.95080185,-125.2710037
Chesterfield Inlet,Canada,YCS,CYCS,3600,63.34690094,-90.73110199
Castlegar,Canada,YCG,CYCG,5300,49.29639816,-117.6320038
Miramichi,Canada,YCH,CYCH,10006,47.007801,-65.449203
Lourdes-De-Blanc-Sablon,Canada,YBX,CYBX,4500,51.4435997,-57.18529892
Bonnyville,Canada,YBY,CYBF,4433,54.304199,-110.744003
Dolbeau-St-Félicien,Canada,YDO,CYDO,4971,48.7784996,-72.375
Nain,Canada,YDP,CYDP,2000,56.54919815,-61.68030167
